title,image_link,platform1,platform2,platform3,platform4,platform5,platform6
Aqua Moto Racing Utopia,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Aqua_Moto_Racing.jpg/220px-Aqua_Moto_Racing.jpg,PS4\,Switch\,WiiU\,XboxOne,na,na
Aragami,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Aragami_%28video_game%29.jpg/220px-Aragami_%28video_game%29.jpg,PS4,na,na,na,na,na
Arcade Archives: A-Z,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/Arcade_Archives_logo.svg/250px-Arcade_Archives_logo.svg.png,PS4,na,na,na,na,na
Arcania: The Complete Tale,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Arcania_Gothic_4_Game_Cover.jpg/220px-Arcania_Gothic_4_Game_Cover.jpg,PS4\,PS3,na,na,na,na
Ark: Survival Evolved,https://upload.wikimedia.org/wikipedia/en/thumb/2/2b/ArkSurvivalEvolved.png/220px-ArkSurvivalEvolved.png,PS4\,Switch\,XboxOne,na,na,na
Armello,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Armello.png/220px-Armello.png,PS4\,Switch\,XboxOne,na,na,na
Art of Balance,https://upload.wikimedia.org/wikipedia/en/b/b7/Art_of_balance.jpg,PS4\,Switch\,WiiU,na,na,na
Asemblance,unreleased,PS4\,XboxOne,na,na,na,na
Ashen Rift,unreleased,PS4,na,na,na,na,na
Ashes Cricket,unreleased,PS4\,XboxOne,na,na,na,na
Assassin's Creed III Remastered,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Assassin%27s_Creed_III_Game_Cover.jpg/220px-Assassin%27s_Creed_III_Game_Cover.jpg,PS4\,Switch,na,na,na,na
Assassin's Creed IV: Black Flag,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Assassin%27s_Creed_IV_-_Black_Flag_cover.jpg/220px-Assassin%27s_Creed_IV_-_Black_Flag_cover.jpg,PS4\,PS3\,WiiU\,Xbox360\,XboxOne,na
Assassin's Creed Chronicles: China,https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/Assassin%27s_Creed_Chronicles_cover_art.jpg/220px-Assassin%27s_Creed_Chronicles_cover_art.jpg,PS4\,XboxOne,na,na,na,na
Assassin's Creed Chronicles: India,https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/Assassin%27s_Creed_Chronicles_cover_art.jpg/220px-Assassin%27s_Creed_Chronicles_cover_art.jpg,PS4\,XboxOne,na,na,na,na
Assassin's Creed Chronicles: Russia,https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/Assassin%27s_Creed_Chronicles_cover_art.jpg/220px-Assassin%27s_Creed_Chronicles_cover_art.jpg,PS4\,XboxOne,na,na,na,na
Assassin's Creed: The Ezio Collection,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Assassin%27s_Creed_Logo.svg/250px-Assassin%27s_Creed_Logo.svg.png,PS4\,XboxOne,na,na,na,na
Assassin's Creed Odyssey,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/ACOdysseyCoverArt.png/220px-ACOdysseyCoverArt.png,PS4\,Switch\,XboxOne,na,na,na
Assassin's Creed: Origins,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Assassin%27s_Creed_Origins_Cover_Art.png/220px-Assassin%27s_Creed_Origins_Cover_Art.png,PS4,na,na,na,na,na
Assassin's Creed Rogue Remastered,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Assassin%27s_Creed_Rogue.jpg/220px-Assassin%27s_Creed_Rogue.jpg,PS4\,XboxOne,na,na,na,na
Assassin's Creed Syndicate,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/ACSyndicate.jpg/220px-ACSyndicate.jpg,PS4\,XboxOne,na,na,na,na
Assassin's Creed Unity,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/Acunity.jpg/220px-Acunity.jpg,PS4\,XboxOne,na,na,na,na
Assault Android Cactus,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/Assault_Android_Cactus.jpg/220px-Assault_Android_Cactus.jpg,PS4,na,na,na,na,na
