game_title,score,ups,downs
Cubers,7066,7066,0
Dandara,117,117,0
Danganronpa 1-2 Reload,0,0,0
Danganronpa V3: Killing Harmony,155,155,0
Danganronpa Another Episode: Ultra Despair Girls,130,130,0
Danganronpa Trilogy,392,392,0
Dangerous Golf,1081,1081,0
Danger Zone,4043,4043,0
Dangun Feveron,12,12,0
Dariusburst Chronicle Saviours,3,3,0
Dark Rose Valkyrie,259,259,0
Dark Souls Remastered,3600,3600,0
Dark Souls II,4970,4970,0
Dark Souls III,5045,5045,0
Darkest Dungeon,994,994,0
Darksiders: Warmastered Edition,1433,1433,0
Darksiders II: Deathinitive Edition,306,306,0
Darksiders III,345,345,0
Daylight,1537,1537,0
Daymare: 1998,8,8,0
Day of the Tentacle: Remastered Edition,273,273,0
Days Gone,5582,5582,0
DayZ,113,113,0
Dead Alliance,1494,1494,0
Dead by Daylight,3700,3700,0
Dead Cells,2583,2583,0
Dead Island Definitive Edition,147,147,0
Dead Island 2,942,942,0
Dead Nation: Apocalypse Edition,38,38,0
Dead or Alive 5 Last Round,5923,5923,0
Dead or Alive 6,7646,7646,0
Dead or Alive Xtreme 3,362,362,0
Deadlight: Director's Cut,114,114,0
The Deadly Tower of Monsters,1210,1210,0
Deadpool,1802,1802,0
Dead Rising,3390,3390,0
Dead Rising 2,4114,4114,0
Dead Rising 2: Off the Record,260,260,0
Dead Rising 4,4122,4122,0
Dead Star,1343,1343,0
Dear Esther,178,178,0
Death end re;Quest,5497,5497,0
Death Stranding,5472,5472,0
Death Squared,3797,3797,0
Death's Gambit,7227,7227,0
De Blob,1642,1642,0
Deception IV: The Nightmare Princess,2,2,0
Defenders of Ekron,24,24,0
Defense Grid 2,1096,1096,0
Deformers,67,67,0
Deiland,41,41,0
Deltarune,12047,12047,0
Demon's Age,3046,3046,0
Demon Gaze II,84,84,0
Dengeki Bunko: Fighting Climax Ignition,166,166,0
Deponia,149,149,0
Descenders,285,285,0
Destiny,1028,1028,0
Destiny 2,1916,1916,0
Destiny Connect: Tick-Tock Travelers,81,81,0
Detroit: Become Human,2303,2303,0
Deus Ex: Mankind Divided,506,506,0
Devil May Cry HD Collection,280,280,0
Devil May Cry 4: Special Edition,398,398,0
Devil May Cry 5,820,820,0
Dex,1810,1810,0
Diablo III,5969,5969,0
Digimon Story: Cyber Sleuth,368,368,0
Digimon Story: Cyber Sleuth - Hacker's Memory,0,0,0
Digimon Survive,42,42,0
Digimon World: Next Order,257,257,0
Dirt 4,828,828,0
Dirt Rally,484,484,0
Dirt Rally 2.0,1210,1210,0
Disc Jam,831,831,0
Disgaea 1 Complete,407,407,0
Disgaea 5 Complete,438,438,0
Dishonored: Definitive Edition,380,380,0
Dishonored 2,1313,1313,0
Dishonored: Death of the Outsider,524,524,0
The Disney Afternoon Collection,935,935,0
Disney Infinity: Marvel Super Heroes,56,56,0
Disney Infinity 3.0,146,146,0
Dissidia Final Fantasy NT,1037,1037,0
Distance,231,231,0
Divekick,102,102,0
Divide,896,896,0
Divinity: Original Sin,564,564,0
Divinity: Original Sin II,272,272,0
DJMax Respect,8,8,0
DmC: Devil May Cry Definitive Edition,192,192,0
Dogos,2541,2541,0
Doki-Doki Universe,324,324,0
Dollhouse,11742,11742,0
Donut County,1967,1967,0
Don Bradman Cricket 17,0,0,0
Don't Starve,869,869,0
Don't Starve Together,1302,1302,0
Doom,725,725,0
Doom Eternal,6779,6779,0
Downwell,247,247,0
Dragon Age: Inquisition,1889,1889,0
Dragon Ball FighterZ,1094,1094,0
Dragon Ball Xenoverse,659,659,0
Dragon Ball Xenoverse 2,659,659,0
Dragon Fin Soup,0,0,0
Dragon's Crown Pro,1359,1359,0
Dragon Quest Builders,1877,1877,0
Dragon Quest Builders 2,1778,1778,0
Dragon Quest Heroes II,258,258,0
Dragon Quest X,508,508,0
Dragon Quest XI: Echoes of an Elusive Age,80,80,0
Dragon's Dogma: Dark Arisen,426,426,0
Drawn to Death,12086,12086,0
Dreamfall Chapters: The Longest Journey,105,105,0
Dreams,320,320,0
Dreii,1,1,0
Drifter,5226,5226,0
Driveclub,2089,2089,0
Driveclub Bikes,349,349,0
Duck Game,4385,4385,0
Duke Nukem 3D: 20th Anniversary World Tour,70,70,0
Dungeon Defenders: Awakened,435,435,0
Dungeons 2,320,320,0
Dungeons 3,317,317,0
Dust: An Elysian Tail,301,301,0
Dustoff Heli Rescue 2,30,30,0
Dying Light,2103,2103,0
Dying Light 2,2084,2084,0
Dynasty Warriors 8: Empires,31,31,0
Dynasty Warriors 8: Xtreme Legends Complete Edition,37,37,0
Dynasty Warriors 9,4756,4756,0
Dynasty Warriors: Godseekers,0,0,0
EA Sports UFC,499,499,0
EA Sports UFC 2,340,340,0
EA Sports UFC 3,412,412,0
Earth Atlantis,1119,1119,0
Earth Defense Force 4.1,162,162,0
Earth Defense Force 5,1199,1199,0
Earth Defense Force: Iron Rain,101,101,0
Earth Wars,4251,4251,0
Earthfall,107,107,0
Earthlock: Festival of Magic,0,0,0
Echo,2075,2075,0
Edge of Eternity,3861,3861,0
Eitr,6,6,0
The Elder Scrolls Online,606,606,0
The Elder Scrolls V: Skyrim – Special Edition,275,275,0
ELEX,509,509,0
Elite: Dangerous,551,551,0
Emily Wants to Play,2736,2736,0
Energy Hook,1009,1009,0
Enigmatis: The Ghosts of Maple Creek,31,31,0
Enter the Gungeon,19619,19619,0
Entwined,6496,6496,0
Erica,2149,2149,0
Escape Plan,6963,6963,0
Escape Goat 2,1751,1751,0
The Escapists,477,477,0
The Escapists 2,455,455,0
Ether One,3786,3786,0
Euro Fishing,276,276,0
Eve: Valkyrie - Warzone,0,0,0
Eventide: Slavic Fable,15,15,0
Everybody's Golf,2449,2449,0
Everybody's Gone to the Rapture,1674,1674,0
Everything,164,164,0
The Evil Within,1918,1918,0
The Evil Within 2,1542,1542,0
Evolve,693,693,0
Exile's End,4019,4019,0
Exist Archive,6389,6389,0
Extinction,1449,1449,0
F1 2015,1518,1518,0
F1 2016,6492,6492,0
F1 2017,1754,1754,0
Fairy Fencer F: Advent Dark Force,99,99,0
The Fall,233,233,0
Fallen Legion: Sins of an Empire,6447,6447,0
Fallout 4,1018,1018,0
Fallout 76,1970,1970,0
Fantasy Strike,4233,4233,0
Far Cry 4,2708,2708,0
Far Cry 5,2525,2525,0
Far Cry Primal,1785,1785,0
FAR: Lone Sails,1688,1688,0
Farming Simulator 15,1663,1663,0
Farming Simulator 17,1477,1477,0
Farming Simulator 19,1702,1702,0
Farm Together,24635,24635,0
Farside,735,735,0
Fast Striker,6904,6904,0
Fate/Extella: The Umbral Star,646,646,0
Fault Milestone One,896,896,0
Fe,693,693,0
Feist,967,967,0
Fenix Furia,0,0,0
Feudal Alloy,7,7,0
Fez,934,934,0
Fibbage,127,127,0
FIFA 14,1244,1244,0
FIFA 15,1583,1583,0
FIFA 16,490,490,0
FIFA 17,391,391,0
FIFA 18,368,368,0
FIFA 19,525,525,0
Figment,337,337,0
Filthy Lucre,165,165,0
Final Fantasy VII,19344,19344,0
Final Fantasy VII Remake,1386,1386,0
Final Fantasy IX,1671,1671,0
Final Fantasy X/X-2 HD Remaster,1784,1784,0
Final Fantasy XII: The Zodiac Age,6157,6157,0
Final Fantasy XIV: A Realm Reborn,275,275,0
Final Fantasy XV,2101,2101,0
Final Fantasy Type-0 HD,308,308,0
Final Horizon,1063,1063,0
The Final Station,2049,2049,0
Fire Pro Wrestling World,12212,12212,0
Firewatch,3843,3843,0
Fist of the North Star: Lost Paradise,170,170,0
The Flame in the Flood,1065,1065,0
Flame Over,2061,2061,0
FlatOut 4: Total Insanity,431,431,0
Flinthook,192,192,0
Flipping Death,34206,34206,0
Flockers,143,143,0
flOw,1199,1199,0
Flower,349,349,0
Fluster Cluck,3,3,0
For Honor,509,509,0
For the King,335,335,0
Forced,362,362,0
The Forest,500,500,0
Forgotton Anne,1239,1239,0
Forma.8,2027,2027,0
Foul Play,8249,8249,0
Four Sided Fantasy,2501,2501,0
Fragments of Him,5377,5377,0
Frantics,5521,5521,0
Freedom Planet,1102,1102,0
Friday the 13th: The Game,887,887,0
Frostpunk,2098,2098,0
Full Metal Panic! Fight: Who Dares Wins,423,423,0
Full Mojo Rampage,90,90,0
Full Throttle Remastered,123,123,0
Furi,646,646,0
Future Unfolding,1585,1585,0
FutureGrind,6265,6265,0
Futuridium EP Deluxe,29,29,0
Galak-Z: The Dimensional,0,0,0
Gal*Gun: Double Peace,0,0,0
Gal*Gun 2,0,0,0
Gal Gunvolt,5,5,0
Game of Thrones,568,568,0
Gang Beasts,2543,2543,0
The Gardens Between,6690,6690,0
Garou: Mark of the Wolves,154,154,0
Gas Guzzlers Extreme,42,42,0
Gauntlet: Slayer Edition,135,135,0
Gemini: Heroes Reborn,28,28,0
Gem Smashers,305,305,0
Genesis,1019,1019,0
Geometry Wars 3: Dimensions,109,109,0
Get Even,148,148,0
Ghost Blade HD,131,131,0
Ghost of a Tale,1924,1924,0
Ghost of Tsushima,199,199,0
Giana Sisters: Twisted Dreams - Director's Cut,214,214,0
Glitched,2596,2596,0
Gnog,49,49,0
Goat Simulator,229,229,0
God Eater Resurrection,335,335,0
God Eater 2: Rage Burst,136,136,0
God Eater 3,872,872,0
God of War III Remastered,654,654,0
God of War,18362,18362,0
Godling,304,304,0
Godzilla: The Game,1888,1888,0
The Golf Club,6630,6630,0
The Golf Club 2,1891,1891,0
Gone Home,686,686,0
Grab the Bottle,41956,41956,0
Grand Ages: Medieval,2188,2188,0
Grand Kingdom,1056,1056,0
Grand Prix Rock N Racing,192,192,0
Grand Theft Auto V,132,132,0
Gran Turismo Sport,3276,3276,0
Grave,34521,34521,0
Gravity Ghost,2434,2434,0
Gravity Rush Remastered,346,346,0
Gravity Rush 2,1553,1553,0
Greedfall,27,27,0
Grim Legends: The Forsaken Bride,22,22,0
Grim Fandango Remastered,228,228,0
Grow Home,1357,1357,0
Grow Up,382,382,0
Guacamelee! Super Turbo Championship Edition,76,76,0
Guacamelee! 2,324,324,0
Guardians of the Galaxy: The Telltale Series,147,147,0
Guardians of the Rose,6852,6852,0
Guilty Gear Xrd: Revelator,154,154,0
Guilty Gear Xrd: Sign,191,191,0
Guitar Hero Live,1143,1143,0
Gundam Breaker 3,80,80,0
Gundam Versus,262,262,0
Gungrave G.O.R.E.,0,0,0
Gunhead,70,70,0
Gunscape,0,0,0
Gunsport,0,0,0
H-Hour: World's Elite,3,3,0
H1Z1: King of the Kill,171,171,0
Habitat: A Thousand Generations in Orbit,0,0,0
.hack//G.U. Last Recode,107,107,0
Hakoniwa Company Works,0,0,0
Hand of Fate,3408,3408,0
Hand of Fate 2,3459,3459,0
Hard Reset: Redux,144,144,0
Harvest Moon: Light of Hope Special Edition,1,1,0
Hatoful Boyfriend,976,976,0
Hatsune Miku: Project DIVA Future Tone,0,0,0
Hatsune Miku: Project DIVA X,51,51,0
Headlander,172,172,0
Headsnatchers,47,47,0
Heart&Slash,2614,2614,0
Heaven's Vault,1787,1787,0
Heavy Rain,1498,1498,0
Hellblade: Senua's Sacrifice,8997,8997,0
Helldivers,549,549,0
Hellfront: Honeymoon,2,2,0
Here They Lie,4487,4487,0
Her Majesty's Spiffing,0,0,0
Hero Defense,1741,1741,0
Hero Siege,7845,7845,0
Hidden Agenda,2174,2174,0
Hitman,1570,1570,0
Hitman 2,782,782,0
Hitman Go,1815,1815,0
Hob,1419,1419,0
Hohokum,55,55,0
Hollow Knight,1550,1550,0
Holy Potatoes! We're in Space?!,147,147,0
Home,195,195,0
Home Free,432,432,0
Homefront: The Revolution,523,523,0
The Hong Kong Massacre,294,294,0
HoPiKo,258,258,0
Horizon Zero Dawn,44744,44744,0
Hotchkiss,1279,1279,0
Hotline Miami,761,761,0
Hotline Miami 2: Wrong Number,198,198,0
Hover: Revolt of Gamers,0,0,0
How to Survive: Storm Warning Edition,72,72,0
How to Survive 2,879,879,0
The Hum: Abductions,10,10,0
Human: Fall Flat,5801,5801,0
Hunt: Showdown,1662,1662,0
The Huntsman: Winter's Curse,36,36,0
Hyper Jam,865,865,0
Hyper Light Drifter,340,340,0
Hyper Void,3437,3437,0
I Am Bread,4139,4139,0
I Am Setsuna,1216,1216,0
Icewind Dale: Enhanced Edition,246,246,0
Icey,1895,1895,0
Iconoclasts,1964,1964,0
The Idolmaster: Stella Stage,0,0,0
Ikaruga,2285,2285,0
Impact Winter,3279,3279,0
Immortal Redneck,150,150,0
Immortal: Unchained,289,289,0
Inazuma Eleven Ares,186,186,0
The Incredible Adventures of Van Helsing,277,277,0
The Incredible Adventures of Van Helsing II,132,132,0
Industry Giant II,1951,1951,0
Indivisible,6077,6077,0
Infamous First Light,5153,5153,0
Infamous Second Son,3895,3895,0
Inferno Climber: Reborn,106,106,0
Infinifactory,133,133,0
Infinite Minigolf,9,9,0
Infinium Strike,13,13,0
Injustice: Gods Among Us Ultimate Edition,104,104,0
Injustice 2,2167,2167,0
The Inner World,4332,4332,0
The Inpatient,3696,3696,0
Insane Robots,4794,4794,0
Inside,289,289,0
Inside My Radio,9734,9734,0
Insurgency: Sandstorm,1378,1378,0
In the Shadows,548,548,0
Inversus,126,126,0
iO,233,233,0
Iron Crypticle,1,1,0
Iron Harvest: 1920+,0,0,0
Iron Sea Defenders,712,712,0
Ittle Dew 2,217,217,0
J-Stars Victory Vs+,56,56,0
Jamestown+,1089,1089,0
Jazzpunk: Director's Cut,66,66,0
Jenny LeClue: Detectivú,0,0,0
Jeopardy!,4272,4272,0
Jetpack Joyride,296,296,0
JoJo's Bizarre Adventure: Eyes of Heaven,22,22,0
Jotun: Valhalla Edition,641,641,0
Journey,592,592,0
Joysound Dive 2,0,0,0
Judgment,10027,10027,0
Jump Force,3079,3079,0
Jump Stars,2357,2357,0
Jurassic World Evolution,1318,1318,0
Just Cause 3,337,337,0
Just Cause 4,338,338,0
Just Dance 2014,6465,6465,0
Just Dance 2015,8159,8159,0
Just Dance 2016,8470,8470,0
Just Dance 2017,4317,4317,0
Just Dance 2018,2455,2455,0
Just Dance 2019,2052,2052,0
Just Deal With It!,387,387,0
Karumaruka Circle,0,0,0
Ken Follett's The Pillars of the Earth,130,130,0
Kentucky Route Zero,212,212,0
Kerbal Space Program,536,536,0
Kero Blaster,392,392,0
Ketsui Deathtiny,0,0,0
Kick Off Revival,2742,2742,0
Killing Floor 2,2262,2262,0
Killzone Shadow Fall,48,48,0
King Oddball,726,726,0
The King of Fighters '97 Global Match,143,143,0
The King of Fighters XIV,316,316,0
Kingdom Come: Deliverance,1403,1403,0
Kingdom Hearts HD 1.5 + 2.5 Remix,0,0,0
Kingdom Hearts HD 2.8 Final Chapter Prologue,1,1,0
Kingdom Hearts: The Story So Far,2295,2295,0
Kingdom Hearts III,850,850,0
Kingdom: New Lands,1258,1258,0
Kingdom: Two Crowns,1854,1854,0
King's Quest,2190,2190,0
Kissbell,0,0,0
Klaus,3682,3682,0
Knack,2142,2142,0
Knack 2,1832,1832,0
Knock Knock,1324,1324,0
Knot,2521,2521,0
Knowledge is Power,2162,2162,0
Knowledge is Power: Decades,49409,49409,0
Kodoku,1574,1574,0
Koi,7230,7230,0
Kona,472,472,0
Over Watch,397,397,0
Kromaia Omega,0,0,0
Kunio-kun: The World Classics Collection,0,0,0
LA Cops,2832,2832,0
L.A. Noire,4110,4110,0
La-Mulana 2,400,400,0
Langrisser I & II HD Remastered,0,0,0
Lara Croft and the Temple of Osiris,202,202,0
Lara Croft Go,379,379,0
Laser League,2233,2233,0
Laserlife,0,0,0
The Last Blade 2,2754,2754,0
Last Day of June,1672,1672,0
The Last Guardian,3370,3370,0
The Last of Us Remastered,1877,1877,0
The Last of Us: Left Behind,3911,3911,0
The Last of Us Part II,6149,6149,0
Late Shift,3179,3179,0
LawBreakers,1389,1389,0
Laws of Machine,18442,18442,0
Layers of Fear,1675,1675,0
Leap of Fate,6173,6173,0
Leaving Lyndow,0,0,0
Left Alive,1530,1530,0
The Legend of Heroes: Trails of Cold Steel,519,519,0
The Legend of Heroes: Trails of Cold Steel II,50,50,0
The Legend of Heroes: Trails of Cold Steel III,48,48,0
Legend of Kay Anniversary,411,411,0
Lego Batman 3: Beyond Gotham,969,969,0
Lego City Undercover,322,322,0
Lego DC Super-Villains,1027,1027,0
Lego Dimensions,1388,1388,0
Lego Harry Potter Collection Remastered,26,26,0
The Lego Movie Videogame,57245,57245,0
The Lego Movie 2 Videogame,536,536,0
The Lego Ninjago Movie Video Game,214,214,0
Lego The Hobbit,248,248,0
Lego Jurassic World,489,489,0
Lego Marvel Super Heroes,394,394,0
Lego Marvel Super Heroes 2,373,373,0
Lego Marvel's Avengers,654,654,0
Lego Star Wars: The Force Awakens,536,536,0
Lego Worlds,2515,2515,0
Lethal League,439,439,0
Lethal League Blaze,600,600,0
Letter Quest: Grimm's Journey Remastered,191,191,0
Lichdom: Battlemage,461,461,0
Life Goes On: Done to Death,6774,6774,0
Life Is Strange,1283,1283,0
Life Is Strange 2,4067,4067,0
Life Is Strange: Before the Storm,3528,3528,0
Limbo,1222,1222,0
Linelight,1,1,0
Lithium: Inmate 39,0,0,0
LittleBigPlanet 3,9204,9204,0
Little Nightmares,2180,2180,0
Little Witch Academia: Chamber of Time,0,0,0
Livelock,9,9,0
Lock's Quest,5251,5251,0
LocoRoco Remastered,2,2,0
LocoRoco 2 Remastered,2,2,0
Lone Survivor: Director's Cut,96,96,0
The Long Dark,544,544,0
Loot Rascals,154,154,0
Lords of the Fallen,2985,2985,0
Lost Castle,6258,6258,0
Lost Sea,4395,4395,0
Lost Soul Aside,16161,16161,0
